,OCC_CODE,TOT_EMP,A_MEAN
739,49-3092,440,"37,220"
740,49-3093,"2,700","29,240"
741,49-9011,"1,120","43,300"
742,49-9012,"4,560","73,540"
743,49-9021,"19,160","59,780"
744,49-9021,"19,160","59,780"
745,49-9031,"2,130","37,490"
746,49-9041,"10,420","57,660"
747,49-9043,"3,150","54,270"
748,49-9044,990,"65,060"
749,49-9045,50,"64,340"
750,49-9051,"5,300","77,340"
751,49-9052,"10,220","72,840"
752,49-9061,140,"47,900"
753,49-9062,"2,300","61,000"
754,49-9063,570,"39,200"
755,49-9064,310,"35,340"
756,49-9071,"108,050","46,030"
757,49-9081,100,"53,820"
758,49-9091,"1,850","46,770"
759,49-9092,**,"68,210"
760,49-9094,710,"54,230"
761,49-9095,170,"30,690"
762,49-9096,470,"80,210"
763,49-9098,"5,080","38,170"
764,49-9099,"6,860","40,390"
765,51-1011,"25,290","68,830"
766,51-2011,50,"49,750"
767,51-2021,280,"33,540"
768,51-2031,940,"51,360"
769,51-2041,"1,760","49,280"
770,51-2091,220,"40,570"
771,51-3011,"12,000","30,990"
772,51-3021,"8,140","36,500"
773,51-3022,"1,770","29,090"
774,51-3023,640,"30,280"
775,51-3091,720,"32,340"
776,51-3092,"8,220","30,000"
777,51-3093,890,"33,290"
778,51-4011,"4,630","38,700"
779,51-4012,"1,010","55,720"
780,51-4021,"1,410","36,670"
781,51-4022,240,"42,680"
782,51-4023,**,"43,580"
783,51-4031,"4,100","40,240"
784,51-4032,190,"34,560"
785,51-4033,"2,060","39,010"
786,51-4034,"1,430","40,720"
787,51-4035,650,"43,980"
788,51-4041,"14,000","47,010"
789,51-4051,600,"45,410"
790,51-4052,260,"46,420"
791,51-4061,110,"63,360"
792,51-4062,30,"49,640"
793,51-4071,260,"40,910"
794,51-4072,"3,490","32,650"
795,51-4081,"3,320","37,450"
796,51-4111,"1,870","53,290"
797,51-4121,"9,980","48,040"
798,51-4121,"9,980","48,040"
799,51-4122,450,"41,000"
800,51-4191,590,"38,740"
801,51-4192,60,"46,130"
802,51-4193,"1,670","34,640"
803,51-4194,170,"40,910"
804,51-5111,"1,690","45,860"
805,51-5112,"9,380","41,770"
806,51-5113,"1,680","35,750"
807,51-6011,"15,980","26,610"
808,51-6021,"1,760","27,660"
809,51-6031,"10,410","30,020"
810,51-6041,510,"27,580"
811,51-6042,70,"26,240"
812,51-6051,560,"29,310"
813,51-6052,"1,290","39,700"
814,51-6061,90,"28,140"
815,51-6062,510,"37,690"
816,51-6063,970,"31,640"
817,51-6064,230,"28,420"
818,51-6092,970,"71,110"
819,51-6093,"1,050","39,930"
820,51-7011,"4,050","44,040"
821,51-7021,870,"38,500"
822,51-7031,30,"44,730"
823,51-7041,960,"33,970"
824,51-7042,"1,320","35,300"
825,51-8012,210,"104,310"
826,51-8013,"1,850","87,360"
827,51-8021,"3,870","77,570"
828,51-8031,"4,720","59,190"
829,51-8091,550,"56,400"
830,51-8092,290,"77,460"
831,51-8093,**,"53,470"
832,51-8099,150,"63,550"
833,51-8099,150,"63,550"
834,51-8099,150,"63,550"
835,51-9011,"2,610","45,880"
836,51-9012,"2,150","45,140"
837,51-9021,"1,290","39,300"
838,51-9022,"1,760","36,460"
839,51-9023,"6,230","38,150"
840,51-9031,530,"41,310"
841,51-9032,"2,230","35,890"
842,51-9041,"2,710","41,110"
843,51-9051,480,"43,210"
844,51-9061,"22,890","42,580"
845,51-9071,"4,390","50,380"
